The World Happiness 2017 ranks 155 contries by their happiness levels. 
Released by the United Nations at an event celebrating International Day of Happiness on March 20th.

country,happiness_score,GDP_per_capita,life_expectancy,freedom
Norway,7.53700017929077,1.61646318435669,0.796666502952576,0.635422587394714
Denmark,7.52199983596802,1.48238301277161,0.792565524578094,0.626006722450256
Iceland,7.50400018692017,1.480633020401,0.833552122116089,0.627162635326385
Switzerland,7.49399995803833,1.56497955322266,0.858131289482117,0.620070576667786
Finland,7.4689998626709,1.44357192516327,0.80915766954422,0.617950856685638
Netherlands,7.3769998550415,1.50394463539124,0.810696125030518,0.585384488105774
Canada,7.31599998474121,1.47920441627502,0.83455765247345,0.611100912094116
New Zealand,7.31400012969971,1.40570604801178,0.816759705543518,0.614062130451202
Sweden,7.28399991989136,1.49438726902008,0.830875158309937,0.612924098968506
Australia,7.28399991989136,1.484414935112,0.84388679265976,0.601607382297516
Israel,7.21299982070923,1.37538242340088,0.83840399980545,0.405988603830338
Costa Rica,7.0789999961853,1.10970628261566,0.759509265422821,0.580131649971008
Austria,7.00600004196167,1.48709726333618,0.81532841920852706,0.567766189575195
United States,6.99300003051758,1.54625928401947,0.77428662776947,0.505740523338318
Ireland,6.97700023651123,1.53570663928986,0.80978262424469,0.573110342025757
Germany,6.95100021362305,1.48792338371277,0.798950731754303,0.562511384487152
Belgium,6.89099979400635,1.46378076076508,0.818091869354248,0.539770722389221
Luxembourg,6.86299991607666,1.74194359779358,0.845089495182037,0.59662789106369
United Kingdom,6.71400022506714,1.44163393974304,0.805335938930511,0.508190035820007
Chile,6.65199995040894,1.25278460979462,0.819479703903198,0.376895278692245
United Arab Emirates,6.64799976348877,1.62634336948395,0.726798236370087,0.60834527015686
Brazil,6.63500022888184,1.10735321044922,0.616552352905273,0.437453746795654
Czech Republic,6.60900020599365,1.35268235206604,0.754444003105164,0.490946173667908
Argentina,6.59899997711182,1.18529546260834,0.695137083530426,0.494519203901291
Mexico,6.57800006866455,1.15318381786346,0.709978997707367,0.412730008363724
Singapore,6.57200002670288,1.69227766990662,0.949492394924164,0.549840569496155
Malta,6.52699995040894,1.34327983856201,0.821944236755371,0.588767051696777
Uruguay,6.4539999961853,1.21755969524384,0.719216823577881,0.57939225435257
Guatemala,6.4539999961853,0.872001945972443,0.540239989757538,0.531310617923737
Panama,6.4520001411438,1.23374843597412,0.706156134605408,0.550026834011078
France,6.44199991226196,1.43092346191406,0.844465851783752,0.470222115516663
Thailand,6.42399978637695,1.12786877155304,0.647239029407501,0.580200731754303
Taiwan Province of China,6.42199993133545,1.43362653255463,0.793984234333038,0.361466586589813
Spain,6.40299987792969,1.38439786434174,0.888960599899292,0.408781230449677
Qatar,6.375,1.87076568603516,0.710098087787628,0.604130983352661
Colombia,6.35699987411499,1.07062232494354,0.595027923583984,0.477487415075302
Saudi Arabia,6.3439998626709,1.53062355518341,0.590148329734802,0.449750572443008
Trinidad and Tobago,6.16800022125244,1.36135590076447,0.519983291625977,0.518630743026733
Kuwait,6.10500001907349,1.63295245170593,0.632105708122253,0.496337592601776
Slovakia,6.09800004959106,1.32539355754852,0.712732911109924,0.295817464590073
Bahrain,6.08699989318848,1.48841226100922,0.653133034706116,0.536746919155121
Malaysia,6.08400011062622,1.29121541976929,0.618784427642822,0.402264982461929
Nicaragua,6.07100009918213,0.737299203872681,0.653095960617065,0.447551846504211
Ecuador,6.00799989700317,1.00082039833069,0.685636222362518,0.4551981985569
El Salvador,6.00299978256226,0.909784495830536,0.596018552780151,0.432452529668808
Poland,5.97300004959106,1.29178786277771,0.699475347995758,0.520342111587524
Uzbekistan,5.97100019454956,0.786441087722778,0.498272627592087,0.658248662948608
Italy,5.96400022506714,1.39506661891937,0.853144347667694,0.256450712680817
Russia,5.96299982070923,1.28177809715271,0.547349333763123,0.373783111572266
Belize,5.95599985122681,0.907975316047668,0.450191766023636,0.547509372234344
Japan,5.92000007629395,1.41691517829895,0.913475871086121,0.505625545978546
Lithuania,5.90199995040894,1.31458234786987,0.62894994020462,0.234231784939766
Algeria,5.87200021743774,1.09186446666718,0.617584645748138,0.233335807919502
Latvia,5.84999990463257,1.26074862480164,0.638566970825195,0.325707912445068
South Korea,5.83799982070923,1.40167844295502,0.900214076042175,0.257921665906906
Moldova,5.83799982070923,0.728870630264282,0.589465200901031,0.240729048848152
Romania,5.82499980926514,1.21768391132355,0.685158312320709,0.457003742456436
Bolivia,5.82299995422363,0.833756566047668,0.473630249500275,0.558732926845551
Turkmenistan,5.82200002670288,1.13077676296234,0.437726080417633,0.41827192902565
Kazakhstan,5.81899976730347,1.28455626964569,0.606041550636292,0.437454283237457
North Cyprus,5.80999994277954,1.3469113111496,0.834647238254547,0.471203625202179
Slovenia,5.75799989700317,1.3412059545517,0.790828227996826,0.572575807571411
Peru,5.71500015258789,1.03522527217865,0.630166113376617,0.450002878904343
Mauritius,5.62900018692017,1.18939554691315,0.638007462024689,0.491247326135635
Cyprus,5.62099981307983,1.35593807697296,0.84471470117569,0.355111539363861
Estonia,5.61100006103516,1.32087934017181,0.695168316364288,0.479131430387497
Belarus,5.56899976730347,1.15655755996704,0.637714266777039,0.295400261878967
Libya,5.52500009536743,1.10180306434631,0.520169019699097,0.465733230113983
Turkey,5.5,1.19827437400818,0.637605607509613,0.300740599632263
Paraguay,5.49300003051758,0.932537317276001,0.579250693321228,0.473507791757584
"Hong Kong S.A.R., China",5.47200012207031,1.55167484283447,0.943062424659729,0.490968644618988
Philippines,5.42999982833862,0.85769921541214,0.468009054660797,0.585214674472809
Serbia,5.39499998092651,1.06931757926941,0.65078467130661,0.208715528249741
Jordan,5.33599996566772,0.991012394428253,0.604590058326721,0.418421149253845
Hungary,5.32399988174438,1.2860119342804,0.687763452529907,0.175863519310951
Jamaica,5.31099987030029,0.925579309463501,0.641022384166718,0.474307239055634
Croatia,5.29300022125244,1.22255623340607,0.701288521289825,0.255772292613983
Kosovo,5.27899980545044,0.951484382152557,0.541452050209045,0.260287940502167
China,5.27299976348877,1.08116579055786,0.741415500640869,0.472787708044052
Pakistan,5.26900005340576,0.72688353061676,0.402047783136368,0.23521526157856
Indonesia,5.26200008392334,0.995538592338562,0.492345720529556,0.443323463201523
Venezuela,5.25,1.12843120098114,0.617144227027893,0.153997123241425
Montenegro,5.23699998855591,1.12112903594971,0.667464673519135,0.194989055395126
Morocco,5.2350001335144,0.878114581108093,0.59771066904068,0.408158332109451
Azerbaijan,5.23400020599365,1.15360176563263,0.540775775909424,0.398155838251114
Dominican Republic,5.23000001907349,1.07937383651733,0.574873745441437,0.55258983373642
Greece,5.22700023651123,1.28948748111725,0.810198903083801,0.0957312509417534
Lebanon,5.22499990463257,1.07498753070831,0.73508107662200906,0.288515985012054
Portugal,5.19500017166138,1.3151752948761,0.795843541622162,0.498465299606323
Bosnia and Herzegovina,5.18200016021729,0.982409417629242,0.705186307430267,0.204403176903725
Honduras,5.18100023269653,0.730573117733002,0.582569479942322,0.348079860210419
Macedonia,5.17500019073486,1.06457793712616,0.644948184490204,0.325905978679657
Somalia,5.15100002288818,0.0226431842893362,0.113989137113094,0.602126955986023
Vietnam,5.07399988174438,0.788547575473785,0.652168989181519,0.571055591106415
Nigeria,5.07399988174438,0.783756256103516,0.0569157302379608,0.394952565431595
Tajikistan,5.04099988937378,0.524713635444641,0.529235124588013,0.471566706895828
Bhutan,5.01100015640259,0.885416388511658,0.495879292488098,0.501537680625916
Kyrgyzstan,5.00400018692017,0.596220076084137,0.553457796573639,0.454943388700485
Nepal,4.96199989318848,0.479820191860199,0.504130780696869,0.440305948257446
Mongolia,4.95499992370605,1.02723586559296,0.557783484458923,0.394143968820572
South Africa,4.8289999961853,1.05469870567322,0.187080070376396,0.479246735572815
Tunisia,4.80499982833862,1.00726580619812,0.613212049007416,0.289680689573288
Palestinian Territories,4.77500009536743,0.716249227523804,0.565666973590851,0.25471106171608
Egypt,4.7350001335144,0.989701807498932,0.520187258720398,0.282110154628754
Bulgaria,4.71400022506714,1.1614590883255,0.708217680454254,0.289231717586517
Sierra Leone,4.70900011062622,0.36842092871666,0.00556475389748812,0.318697690963745
Cameroon,4.69500017166138,0.564305365085602,0.132892116904259,0.430388748645782
Iran,4.69199991226196,1.15687310695648,0.639333188533783,0.249322608113289
Albania,4.64400005340576,0.996192753314972,0.731159746646881,0.381498634815216
Bangladesh,4.60799980163574,0.586682975292206,0.533241033554077,0.478356659412384
Namibia,4.57399988174438,0.964434325695038,0.33861181139946,0.520303547382355
