fruit_label,fruit_name,fruit_subtype,scaled_mass,scaled_width,scaled_height,scaled_color
1,apple,granny_smith,0.5249358232380423,1.5850841206069297,-0.28891657061443043,-2.7698196991859216
1,apple,granny_smith,0.3068286854137852,1.0954508058644747,-0.6562889341112278,-2.2493758703579947
1,apple,granny_smith,0.23412630613903282,0.36100083375079334,-0.36239104331378963,-2.1192649131510124
2,mandarin,mandarin,-1.4016772275428955,-1.1078991104765705,-2.199252860797776,0.48295423098862844
2,mandarin,mandarin,-1.4380284171802717,-1.3527157678477981,-2.272727333497136,0.3528432737816463
2,mandarin,mandarin,-1.510730796455024,-1.5975324252190257,-2.4931507515952145,0.0926213593676821
2,mandarin,mandarin,-1.510730796455024,-1.4751240965334114,-2.4931507515952145,0.6130651881956105
2,mandarin,mandarin,-1.5834331757297764,-1.5975324252190257,-2.7135741696932927,0.6130651881956105
1,apple,braeburn,0.270477495776409,-0.006224152306048461,0.07845579288236687,2.0442857174724125
1,apple,braeburn,0.16142392686428045,0.36100083375079334,-0.5093399887125087,1.653952845851466
1,apple,braeburn,0.0523703579521519,-0.2510408096772749,-0.28891657061443043,2.1743966746793943
1,apple,braeburn,0.16142392686428045,-0.006224152306048461,-0.06849315251635218,2.0442857174724125
1,apple,braeburn,-0.16573677987210522,-0.12863248099166166,-0.4358655160131495,1.523841888644484
1,apple,golden_delicious,0.01601916831477571,0.23859250506517904,0.004981320183007669,-0.8181553410811927
1,apple,golden_delicious,-0.2020879695094814,0.6058174911220198,-0.28891657061443043,-0.9482662982881749
1,apple,golden_delicious,-0.12938559023472904,0.728225819807634,-0.4358655160131495,-0.9482662982881749
1,apple,golden_delicious,-0.12938559023472904,0.6058174911220198,-0.14196762521571138,-1.2084882127021377
1,apple,golden_delicious,0.08872154758952808,0.4834091624364065,-0.06849315251635218,-0.4278224694602464
1,apple,cripps_pink,-0.020332021322600476,0.4834091624364065,-0.4358655160131495,0.8732871026095733
1,apple,cripps_pink,-0.020332021322600476,0.36100083375079334,-0.36239104331378963,1.1335090170235376
1,apple,cripps_pink,-0.056683210959976665,0.4834091624364065,-0.14196762521571138,1.2636199742305196
1,apple,cripps_pink,-0.12938559023472904,0.36100083375079334,-0.2154420979150706,1.0033980598165555
1,apple,cripps_pink,-0.4201951073337385,0.23859250506517904,-0.4358655160131495,1.3937309314375017
1,apple,cripps_pink,0.12507273722690426,0.6058174911220198,0.15193026558172673,1.523841888644484
3,orange,spanish_jumbo,3.2512750460412563,2.319534092720611,1.2540473560721186,-0.16760055504628216
3,orange,spanish_jumbo,3.5057333735028897,2.5643507500918377,1.107098410673399,-0.16760055504628216
3,orange,spanish_jumbo,3.614786942415018,3.053984064834293,1.107098410673399,-0.29771151225326425
3,orange,selected_seconds,0.7430429610622994,0.4834091624364065,1.107098410673399,0.0926213593676821
3,orange,selected_seconds,-0.4201951073337385,-0.49585746704850236,-0.4358655160131495,-0.5579334266672284
3,orange,selected_seconds,-0.056683210959976665,-0.12863248099166166,-0.2154420979150706,0.6130651881956105
3,orange,selected_seconds,-0.09303440059735285,-0.006224152306048461,-0.14196762521571138,0.3528432737816463
3,orange,selected_seconds,0.852096529974428,0.8506341484932473,0.22540473828108593,0.7431761454025912
3,orange,selected_seconds,0.01601916831477571,0.11618417637956584,-0.5093399887125087,0.48295423098862844
3,orange,turkey_navel,0.4885846336006661,0.4834091624364065,0.2988792109804451,-0.29771151225326425
3,orange,turkey_navel,-0.38384391769636234,0.6058174911220198,0.07845579288236687,-0.16760055504628216
3,orange,turkey_navel,-0.2384391591468576,-0.006224152306048461,0.15193026558172673,-0.16760055504628216
3,orange,turkey_navel,-0.056683210959976665,-0.006224152306048461,-0.06849315251635218,-0.03748959783930003
3,orange,turkey_navel,-0.16573677987210522,0.23859250506517904,-0.28891657061443043,0.3528432737816463
3,orange,turkey_navel,-0.09303440059735285,0.11618417637956584,0.07845579288236687,0.0926213593676821
3,orange,turkey_navel,-0.3474927280589861,-0.3734491383628892,-0.2154420979150706,-0.16760055504628216
3,orange,turkey_navel,-0.16573677987210522,-0.006224152306048461,-0.14196762521571138,0.2227323165746642
3,orange,turkey_navel,0.3068286854137852,0.6058174911220198,0.3723536836798043,0.3528432737816463
3,orange,turkey_navel,-0.16573677987210522,0.11618417637956584,-0.36239104331378963,0.7431761454025912
4,lemon,spanish_belsan,0.5612870128754185,0.11618417637956584,1.915317610366354,-0.8181553410811927
4,lemon,spanish_belsan,0.6703405817875471,0.23859250506517904,2.0622665557650723,-0.5579334266672284
4,lemon,spanish_belsan,0.41588225432591375,0.11618417637956584,1.107098410673399,-0.5579334266672284
4,lemon,spanish_belsan,0.9611500988865566,0.23859250506517904,1.8418431376669935,-0.6880443838742106
4,lemon,spanish_belsan,0.5976382025127946,0.23859250506517904,1.4744707741701963,-0.5579334266672284
4,lemon,spanish_belsan,0.19777511650165663,0.23859250506517904,1.7683686649676345,-0.5579334266672284
4,lemon,unknown,-0.5655998658832433,-1.5975324252190257,0.7397260471766016,-0.4278224694602464
4,lemon,unknown,-0.6019510555206194,-1.3527157678477981,0.3723536836798043,-0.6880443838742106
4,lemon,unknown,-0.8564093829822528,-1.3527157678477981,-0.14196762521571138,-0.5579334266672284
4,lemon,unknown,-0.8200581933448766,-1.4751240965334114,0.22540473828108593,-0.5579334266672284
4,lemon,unknown,-0.7837070037075003,-1.3527157678477981,0.5193026290785241,-0.29771151225326425
4,lemon,unknown,-0.8564093829822528,-1.2303074391621849,0.5927771017778832,-0.6880443838742106
4,lemon,unknown,-0.8564093829822528,-0.9854907817909574,0.004981320183007669,-0.5579334266672284
4,lemon,unknown,-0.8564093829822528,-1.4751240965334114,0.2988792109804451,-0.4278224694602464
4,lemon,unknown,-0.2020879695094814,-0.7406741244197299,0.5927771017778832,-0.5579334266672284
4,lemon,unknown,-0.8200581933448766,-1.2303074391621849,0.2988792109804451,-0.8181553410811927
